2017-08-16 15:16:32 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID 92b29ff9 (outbound) of Remoting connection 3f950903 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 15:29:37 INFO  xnio:93 - XNIO version 3.3.4.Final
2017-08-16 15:29:37 INFO  nio:55 - XNIO NIO Implementation Version 3.3.4.Final
2017-08-16 15:29:37 INFO  remoting:73 - JBoss Remoting version 4.0.18.Final
2017-08-16 15:29:37 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 15:29:37 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@2b35eab5, receiver=Remoting connection EJB receiver [connection=Remoting connection <40ae1610>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID 95af43ea (outbound) of Remoting connection 2decfcc5 to localhost/127.0.0.1:8080
2017-08-16 15:29:37 INFO  client:45 - JBoss EJB Client version 2.1.4.Final
2017-08-16 15:29:48 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 15:29:48 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@47f752f8, receiver=Remoting connection EJB receiver [connection=Remoting connection <ab00553>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID c1decf6a (outbound) of Remoting connection 5011d5d0 to localhost/127.0.0.1:8080
2017-08-16 15:30:31 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID c1decf6a (outbound) of Remoting connection 5011d5d0 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 15:30:31 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID 95af43ea (outbound) of Remoting connection 2decfcc5 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 15:34:47 INFO  xnio:93 - XNIO version 3.3.4.Final
2017-08-16 15:34:47 INFO  nio:55 - XNIO NIO Implementation Version 3.3.4.Final
2017-08-16 15:34:48 INFO  remoting:73 - JBoss Remoting version 4.0.18.Final
2017-08-16 15:35:43 INFO  xnio:93 - XNIO version 3.3.4.Final
2017-08-16 15:35:43 INFO  nio:55 - XNIO NIO Implementation Version 3.3.4.Final
2017-08-16 15:35:43 INFO  remoting:73 - JBoss Remoting version 4.0.18.Final
2017-08-16 15:35:43 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 15:35:43 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@b9ecb2c, receiver=Remoting connection EJB receiver [connection=Remoting connection <1dc59994>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID 84250505 (outbound) of Remoting connection 1e1e846f to localhost/127.0.0.1:8080
2017-08-16 15:35:43 INFO  client:45 - JBoss EJB Client version 2.1.4.Final
2017-08-16 15:40:30 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 15:40:30 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@4bdb42cf, receiver=Remoting connection EJB receiver [connection=Remoting connection <4a582043>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID 86aaf9d6 (outbound) of Remoting connection 3079d158 to localhost/127.0.0.1:8080
